student_id,attendance,quiz_avg,assignment_avg,midterm_score,project_score,study_hours_per_week,participation_score,final_score,degree_category
1,74.98,50.18,58.87,78.73,78.6,18.8,75.38,69.83,Good
2,98.03,69.8,58.09,86.78,90.27,21.6,42.07,78.32,Very Good
3,89.28,88.01,93.03,51.28,88.01,34.9,91.07,76.36,Very Good
4,83.95,80.27,58.23,75.62,57.69,16.9,72.92,63.77,Acceptable
5,66.24,84.36,59.41,72.16,57.46,35.4,41.0,64.94,Acceptable
6,66.24,76.23,85.25,89.13,63.41,8.1,97.36,73.97,Good
7,62.32,78.08,68.84,93.9,68.05,32.2,66.29,78.39,Very Good
8,94.65,86.71,86.17,35.79,70.42,34.7,35.1,66.98,Good
9,84.04,53.73,48.46,78.81,83.98,11.4,73.88,65.2,Good
10,88.32,66.92,70.84,38.37,52.83,20.1,47.72,56.26,Acceptable
11,60.82,52.17,46.78,70.68,51.73,10.8,86.26,60.3,Acceptable
12,98.8,94.32,48.32,53.7,69.6,29.7,87.25,69.15,Good
13,93.3,91.92,93.04,54.94,84.86,23.7,98.53,79.79,Very Good
14,68.49,42.17,52.38,57.94,59.67,27.2,65.13,56.4,Acceptable
15,67.27,78.81,73.22,75.38,82.08,11.9,61.85,76.91,Very Good
16,67.34,90.89,66.79,56.71,62.99,12.4,82.74,63.94,Acceptable
17,72.17,49.93,63.41,82.63,94.3,6.5,39.27,73.62,Good
18,80.99,71.24,92.69,61.29,94.78,16.3,68.28,77.68,Very Good
19,77.28,90.35,46.16,39.44,64.86,24.6,68.24,59.35,Acceptable
20,71.65,41.87,80.18,85.94,61.5,35.0,36.26,76.96,Very Good
21,84.47,78.36,96.06,53.57,70.57,28.3,59.26,70.26,Good
22,65.58,56.35,74.69,63.13,62.03,20.2,89.73,64.09,Acceptable
23,71.69,90.84,94.65,79.55,83.62,38.4,89.93,81.93,Very Good
24,74.65,93.41,47.77,56.61,91.3,30.2,36.95,71.92,Good
25,78.24,91.93,67.2,38.68,83.65,37.6,36.35,73.03,Good
26,91.41,66.08,58.79,59.3,91.22,23.5,48.39,74.24,Good
27,67.99,87.41,83.73,96.39,69.85,14.1,91.23,84.72,Very Good
28,80.57,86.45,97.01,76.71,57.82,6.8,39.02,73.38,Good
29,83.7,57.55,58.6,78.65,86.9,30.4,80.4,72.49,Good
30,61.86,85.59,79.67,76.1,68.02,9.2,37.08,65.58,Good
31,84.3,42.04,55.5,47.93,83.56,15.6,73.62,66.27,Good
32,66.82,72.79,74.96,62.19,63.53,23.6,54.92,67.96,Good
33,62.6,52.65,69.59,83.81,54.06,24.8,85.22,65.72,Good
34,97.96,46.63,96.52,41.59,99.63,26.0,46.36,75.97,Very Good
35,98.63,44.23,77.25,53.06,57.81,10.8,74.74,58.95,Acceptable
36,92.34,78.3,63.52,52.96,99.42,18.3,46.5,72.64,Good
37,72.18,58.69,51.05,63.08,98.86,26.6,79.96,68.58,Good
38,63.91,79.86,53.02,98.72,89.69,38.9,91.16,82.93,Very Good
39,87.37,43.59,56.94,39.39,82.97,30.5,38.88,58.67,Acceptable
40,77.61,57.34,58.3,68.72,78.89,37.3,90.66,65.82,Good
41,64.88,69.67,90.08,46.66,93.31,31.7,71.55,73.05,Good
42,79.81,83.49,74.74,98.09,64.47,25.7,38.9,81.18,Very Good
43,61.38,57.53,72.74,42.36,73.38,11.7,59.93,58.96,Acceptable
44,96.37,74.42,51.08,61.23,80.97,28.3,41.26,70.45,Good
45,70.35,88.73,90.59,82.96,70.56,26.8,79.02,77.48,Very Good
46,86.5,73.87,83.31,80.8,71.37,26.1,83.12,78.2,Very Good
47,72.47,52.81,48.59,62.48,66.51,22.1,37.41,56.57,Acceptable
48,80.8,41.34,82.52,57.52,78.21,23.5,65.43,69.26,Good
49,81.87,87.86,73.81,60.84,92.53,16.7,87.02,76.38,Very Good
50,67.39,41.17,49.33,52.18,60.08,23.2,95.53,57.58,Acceptable
51,98.78,88.11,69.29,48.35,96.72,11.9,65.95,76.43,Very Good
52,91.01,69.09,70.69,66.4,84.45,33.2,96.52,78.14,Very Good
53,97.58,91.65,53.79,52.45,91.16,11.5,67.5,71.24,Good
54,95.79,83.93,95.12,53.69,77.81,8.0,57.59,71.06,Good
55,83.92,94.89,90.05,77.69,88.98,20.3,89.37,84.85,Very Good
56,96.87,59.29,80.46,97.95,50.81,28.0,64.51,74.45,Good
57,63.54,82.2,69.5,74.24,90.92,20.3,63.03,73.99,Good
58,67.84,62.11,66.82,40.0,52.01,14.7,64.32,53.8,Acceptable
59,61.81,66.39,79.5,39.91,94.5,24.5,89.27,65.51,Good
60,73.01,74.51,73.91,96.84,99.6,17.1,88.24,78.07,Very Good
61,75.55,88.05,48.3,54.32,64.7,37.7,58.25,62.56,Acceptable
62,70.85,94.12,72.16,40.98,60.52,37.3,53.33,65.89,Good
63,93.15,82.26,87.74,73.94,88.27,22.6,64.43,77.34,Very Good
64,74.27,62.98,69.34,75.54,62.65,16.5,70.09,67.77,Good
65,71.24,63.17,47.75,77.15,93.28,30.8,46.68,75.98,Very Good
66,81.71,80.57,86.67,52.38,55.14,6.3,85.58,69.85,Good
67,65.64,53.13,55.67,35.98,56.3,21.6,64.05,56.76,Acceptable
68,92.09,46.08,58.71,97.73,98.96,16.8,53.38,78.02,Very Good
69,62.98,59.5,53.73,51.31,83.69,37.2,37.48,65.56,Good
70,99.48,55.8,62.5,78.94,92.34,5.4,46.72,69.86,Good
71,90.89,56.3,85.11,80.93,66.22,24.3,96.45,73.96,Good
72,67.95,52.85,72.53,74.65,83.82,30.9,51.36,62.87,Acceptable
73,60.22,42.32,55.86,55.34,79.71,22.0,41.82,61.71,Acceptable
74,92.62,40.98,91.52,52.62,80.16,8.0,62.25,71.63,Good
75,88.27,94.32,91.62,73.85,84.13,39.0,51.5,82.38,Very Good
76,89.16,63.53,91.14,91.3,78.77,23.1,32.46,79.0,Very Good
77,90.85,61.14,57.66,96.54,71.45,26.5,52.62,71.89,Good
78,62.96,77.38,68.92,41.88,63.8,13.3,68.09,61.13,Acceptable
79,74.34,52.0,97.2,45.06,88.43,21.9,68.62,73.17,Good
80,64.63,92.25,85.92,96.41,61.31,20.0,54.96,73.87,Good
81,94.52,83.25,46.44,82.87,84.62,7.6,61.31,74.12,Good
82,84.93,44.92,48.46,92.39,61.67,8.7,97.59,65.49,Good
83,73.24,62.97,69.59,48.17,81.27,34.3,56.41,66.43,Good
84,62.54,88.35,93.19,73.19,87.35,13.4,48.08,79.37,Very Good
85,72.44,91.96,73.55,80.57,60.94,11.8,47.04,71.34,Good
86,73.01,65.71,71.38,79.21,53.0,22.7,62.04,67.46,Good
87,89.18,73.74,50.59,61.53,56.55,31.9,83.17,64.29,Acceptable
88,85.5,49.19,79.81,36.0,80.3,7.2,44.42,62.98,Acceptable
89,95.49,94.51,88.57,72.89,92.47,25.2,79.65,86.54,Excellent
90,78.89,52.74,65.16,51.45,52.25,9.2,31.48,55.53,Acceptable
91,64.78,91.85,86.11,64.27,86.71,6.3,59.33,70.82,Good
92,88.53,75.73,96.12,97.24,67.07,6.8,84.31,81.1,Very Good
93,90.43,73.43,55.8,60.94,73.93,34.2,53.71,70.89,Good
94,82.45,68.2,72.74,89.59,96.44,9.1,69.46,79.43,Very Good
95,90.84,52.69,60.22,47.26,66.6,6.6,44.35,59.18,Acceptable
96,79.75,49.71,87.02,78.71,73.27,20.3,81.94,79.1,Very Good
97,80.91,52.13,75.61,98.51,50.68,34.5,33.66,74.91,Good
98,77.1,50.25,78.63,41.62,54.08,14.2,89.68,58.73,Acceptable
99,61.02,82.88,87.29,35.54,62.93,19.8,43.87,60.59,Acceptable
100,64.32,59.26,65.99,63.18,51.39,6.4,91.21,52.29,Acceptable
101,61.26,43.18,93.5,41.02,81.57,20.7,54.68,62.69,Acceptable
102,85.46,93.3,73.25,83.64,71.32,25.2,80.59,78.57,Very Good
103,72.57,88.61,53.37,94.45,77.41,25.0,52.35,77.23,Very Good
104,80.34,91.03,81.88,63.21,58.73,16.6,93.41,71.9,Good
105,96.3,94.72,87.04,51.82,64.8,16.0,38.86,70.15,Good
106,69.97,49.56,61.79,63.24,83.19,8.7,42.5,57.11,Acceptable
107,76.42,61.79,90.43,82.02,98.27,17.8,64.51,77.79,Very Good
108,90.22,81.7,93.03,35.59,52.52,8.5,35.74,63.56,Acceptable
109,69.15,78.28,59.68,73.31,94.52,31.8,43.72,79.14,Very Good
110,63.08,48.46,97.13,74.86,78.84,38.8,96.06,76.85,Very Good
111,71.59,84.87,52.46,76.45,78.2,39.0,98.35,75.9,Very Good
112,66.45,52.34,55.71,50.73,75.01,35.3,56.34,63.41,Acceptable
113,97.19,52.31,54.76,81.41,53.47,26.0,94.63,65.12,Good
114,92.32,69.53,92.38,40.94,54.49,29.5,68.14,67.47,Good
115,85.34,72.61,79.68,47.95,80.05,15.0,48.88,65.45,Good
116,94.86,71.9,53.06,92.04,67.05,27.1,79.17,77.24,Very Good
117,92.15,45.03,68.34,83.02,95.86,20.9,76.12,76.44,Very Good
118,67.46,88.26,77.61,35.89,70.33,21.9,99.24,67.14,Good
119,95.7,54.61,49.42,51.14,57.16,31.5,48.55,55.89,Acceptable
120,81.57,47.12,91.77,48.94,85.74,14.9,77.04,70.79,Good
121,92.3,88.88,87.59,52.6,64.67,16.1,33.64,76.12,Very Good
122,95.84,92.56,71.78,51.09,76.27,37.4,37.96,69.4,Good
123,72.72,87.42,96.26,39.06,84.89,7.0,30.27,67.75,Good
124,64.4,84.52,67.14,64.83,95.01,22.0,99.96,76.2,Very Good
125,69.12,76.04,97.16,82.63,89.61,36.9,86.16,87.61,Excellent
126,77.08,70.3,80.4,74.44,83.82,26.4,85.07,75.58,Very Good
